,TSHZ3-chr19-31768568,TP53-chr17-7577548,TOX-chr8-59851979,STRN-chr2-37105068,SPEN-chr1-16258997,SPEN-chr1-16202934,PTPRD-chr9-10074741,PRKCB-chr16-24230186,PIK3CG-chr7-106508397,NRAS-chr1-115258747,NR4A3-chr9-102595561,NR3C2-chr4-149357051,MYH11-chr16-15917267,MN1-chr22-28193785,LRP1B-chr2-141609298,LINGO2-chr9-29178757,LINGO2-chr9-29123273,LINGO2-chr9-29117698,LINGO2-chr9-28778389,LINGO2-chr9-28064983,LAMB4-chr7-107732769,IL7R-chr5-35876645,IL21R-chr16-27448836,HELZ-chr17-65119071,FUS-chr16-31193877,FHIT-chr3-60412480,F8-chrX-154157378,EPHB6-chr7-142566125,CIITA-chr16-11002009,CHN1-chr2-175779934,CDK4-chr12-58144548,ATR-chr3-142269072,ATP7B-chr13-52534322,APC-chr5-112175328,APC-chr5-112164646,ALK-chr2-29416591
MA-37,10,2635,321,354,3926,731,81,452,32,67,274,512,55,4,4,66,127,147,144,43,105,547,17,21,18,34,83,374,308,741,473,109,560,94,1,380
MA-38,574,885,113,647,527,609,53,278,849,3649,28,325,32,118,15,253,31,35,453,148,110,1462,11,74,116,1,890,2432,80,9,195,333,90,2,34,2251
MA-39,4,268,325,28,1715,393,136,197,79,78,50,76,119,327,4,8,10,13,160,894,140,477,69,464,4,216,1238,44,90,296,59,905,1316,767,679,1190
MA-40,2030,20,248,304,137,174,93,1569,50,26,155,96,227,5,568,47,87,1644,26,377,33,94,4,21,17,141,1026,37,27,187,335,350,477,1170,775,858
MA-41,51,35,53,74,6985,33,223,135,87,3,33,62,173,27,31,0,50,42,79,25,0,236,5,2,16,10,216,167,13,155,796,1110,93,120,4,89
MA-42,15,818,29,164,2827,56,300,230,1853,7647,62,8,22,63,44,6,646,645,50,45,206,479,226,23,252,3,560,229,8,22,940,75,1842,10,108,151
MA-43,236,11,305,2,4820,1014,312,127,17,378,91,21,103,8,193,19,17,21,26,126,41,234,24,769,118,173,1,33,15,48,28,108,827,21,30,806
MA-44,365,582,2,40,2227,335,15,544,550,1704,184,124,19,381,154,142,99,46,25,74,28,14,8,33,530,104,109,162,149,83,1200,3894,226,448,923,727
MA-45,65,47,164,259,504,1,199,34,307,31,483,82,99,25,455,39,58,13,5,504,11,115,379,41,349,0,191,135,466,16,5685,1289,1085,19,67,24
MA-46,332,42,178,84,1406,42,166,150,1240,419,2,632,8,774,621,305,394,386,54,163,49,5,80,36,118,17,18,503,361,188,5034,102,1828,66,23,58
MA-47,86,174,163,170,7132,2268,11,222,873,71,32,53,572,0,477,9,12,12,316,63,6,233,2,35,29,102,119,556,16,240,117,1495,469,141,174,411
MA-48,61,4,120,25,900,124,40,2351,67,1340,182,137,22,62,43,128,180,42,45,8,6,61,355,43,65,19,207,223,967,29,680,153,82,1100,1026,1686
MA-84,6,250,91,655,1262,220,84,119,4,54,83,7,422,89,1108,43,13,3,578,18,16,25,227,206,10,33,466,438,248,18,508,412,25,32,74,1864
MA-85,139,9,107,114,410,44,9,26,39,382,78,69,98,791,773,83,6,4,70,1,18,382,214,270,79,123,62,556,342,57,1141,1353,1056,11,112,455
MA-86,558,13,1110,25,1712,1658,13,351,552,388,196,265,31,37,404,23,271,295,161,26,35,124,53,104,48,45,19,168,35,53,573,130,977,213,74,801
MA-87,836,121,909,7,3918,301,693,449,105,22,28,248,13,184,6,99,12,6,52,54,24,264,28,4,65,58,27,22,23,268,3,61,16,74,270,88
MA-88,7,619,223,52,275,767,38,226,1,264,2,1770,3,0,90,17,119,23,66,402,52,155,7,113,558,7,17,71,449,280,161,743,33,1155,1833,740
MA-89,1336,320,42,37,460,149,118,723,220,758,13,33,355,121,32,11,14,9,183,101,32,79,27,32,11,24,1173,360,25,10,63,635,599,151,102,270
MA-90,6,6,216,1099,833,482,161,186,85,3,53,307,26,441,13,139,329,356,89,47,209,712,628,18,161,227,251,9,62,100,33,132,362,1714,2467,5850
MA-91,73,74,100,20,2224,266,60,103,267,93,153,131,727,516,101,35,48,79,330,21,43,2,10,231,96,278,206,63,139,9,443,762,215,183,225,269
MA-92,141,72,148,26,5131,18,258,49,45,382,517,70,29,436,208,15,103,66,66,306,306,7,20,180,27,0,100,17,140,41,3990,1486,1018,194,297,148
MA-93,76,37,150,130,3493,158,252,2,122,17,48,262,392,19,299,60,1,8,91,110,4,33,335,153,100,15,103,30,61,7,224,889,107,53,136,344
MA-95,33,721,161,62,2677,1060,50,18,96,1946,76,27,4,3,85,17,229,240,704,21,326,3,65,27,16,20,2290,20,64,149,155,299,210,588,1030,337
MD-10,794,1773,19,41,768,29,180,313,413,40,2,21,8,123,2,11,34,19,314,26,171,4,9,1,4,23,4,4,42,323,2822,1171,158,457,442,31
MD-11,2,120,547,1519,113,1050,34,604,26,1668,29,11,197,0,90,23,22,49,543,295,34,268,353,67,92,401,16,5,14,4,6,494,545,1835,748,915
MD-12,633,34,139,10,210,620,148,45,673,118,23,979,42,10,31,21,74,54,61,6,18,42,208,122,43,6,5,71,51,16,54,368,841,2971,2065,52
MD-13,356,404,5,367,7844,15,135,133,79,2299,221,850,35,17,57,0,2,7,204,38,245,366,3,510,3,207,114,2,83,6,2815,194,3,25,12,84
MD-3,178,11,48,94,374,460,6,880,1063,392,26,118,13,24,44,34,45,59,2,1,29,1,58,2,1,45,1,9,0,21,18,192,11,16,47,1960
MD-4,290,335,0,8,14,239,0,8,296,477,20,2,30,20,59,0,0,1,31,0,64,123,177,5,61,4,8,2,17,1,461,93,12,8,8,316
MD-5,36,45,26,209,105,1644,6,296,14,44,2,114,5,47,2178,8,8,11,6,24,41,1,23,193,8,129,0,0,144,14,1372,321,1,17,20,62
MD-7,11,237,11,27,75,1,16,1,789,129,50,85,45,9,7,42,3,42,6,71,26,7,0,0,6,26,31,2,4,0,112,250,22,1934,596,2202
MD-8,2,359,103,0,123,48,94,87,52,198,2,1,86,12,6,1,8,5,48,3,11,1,19,23,5,1,10,41,7,7,113,519,2,12,42,91
MD-9,18,1420,1,2,7388,115,120,20,9,250,32,55,468,60,399,0,98,111,30,7,6,11,12,27,3,22,4,9,7,10,141,191,276,60,13,39
PA-26,150,161,159,207,496,452,97,68,54,72,40,3,21,24,873,1,93,38,2730,208,116,20,608,44,82,5,47,12,109,157,100,1894,637,21,1071,267
PA-27,322,38,80,100,53,15,1,7,13,175,30,70,3,13,107,95,32,12,17,86,20,13,101,31,79,678,9,2,9,10,447,201,165,443,291,788
PA-28,9,11,717,97,2654,91,71,23,403,51,454,1779,172,115,97,46,1614,177,508,41,6,121,4,71,26,50,8,163,269,119,29,5901,12,139,57,21
PA-29,103,9,15,8,30,94,32,115,211,11,297,177,25,66,567,17,79,5,16,198,5,4,14,9,67,72,309,301,0,52,41,7120,97,1001,1663,213
PA-31,0,11,0,0,3,3,0,1,1,20,1,1,7,0,0,1,9,4,0,5,0,5,0,0,1,2,1,0,5,2,10,0,7,0,3,9
PA-32,139,51,93,14,322,63,131,1514,156,159,16,10,28,9,77,245,122,128,434,52,71,116,84,65,23,285,229,40,119,41,531,1512,102,260,280,565
PA-38,277,2834,112,1605,135,405,821,40,603,3212,1435,572,259,28,112,19,138,159,1420,20,111,364,11,89,69,68,33,3794,26,137,2376,399,1744,1411,483,4943
PA-39,47,162,34,11,2679,145,62,305,111,57,624,5,88,681,1154,297,690,367,87,467,8,1490,15,81,181,12,141,5,668,777,19,545,922,18,1041,39
PA-40,103,908,29,158,1181,143,43,40,93,239,72,28,951,2,17,223,406,150,160,26,35,12,7,150,124,56,1699,566,6,41,26,1308,110,66,78,4703
PA-41,151,152,125,19,1012,852,7,2086,2,23,101,327,121,40,147,233,23,24,65,139,389,130,217,65,45,299,15,6,292,52,279,144,92,114,33,240
PA-42,5,596,93,155,1314,4,132,21,28,963,55,29,99,8,16,117,46,41,1012,1032,9,2,17,95,58,342,237,14,41,148,149,1666,16,2179,1360,158
PA-43,56,46,298,156,3160,146,45,92,1,62,348,45,11,75,47,47,170,105,475,376,1,22,580,14,40,0,58,75,37,4,8,110,733,259,213,14
PA-46,15,1310,151,62,103,935,240,26,219,489,50,1534,1,27,299,2,276,203,153,821,72,88,23,0,314,4,6,287,118,91,197,362,5,39,8,69
PA-47,79,244,223,19,797,67,87,259,88,55,166,108,196,158,15,4,74,66,10,8,36,118,165,2,253,41,305,1312,26,10,35,227,416,70,787,15
PA-48,154,47,56,43,258,18,17,91,79,464,30,55,974,3,900,15,18,54,123,98,75,51,19,58,168,16,8,221,640,35,259,214,1164,30,118,218
PA-49,35,15,391,9,150,18,123,17,178,164,69,44,12,39,67,47,6,7,1387,5,292,10,35,141,224,281,51,27,17,37,28,90,20,1225,1099,34
PA-51,68,41,65,137,705,168,53,45,33,178,82,73,274,20,1531,3,35,31,318,79,233,49,25,290,43,45,880,621,201,52,149,34,174,995,551,1296
PA-52,2699,60,5,9,432,56,96,26,169,15,579,61,55,49,4093,15,83,102,948,27,353,64,105,30,1505,411,23,272,33,189,600,73,40,340,242,123
PA-53,16,422,31,107,589,24,56,118,4,12,12,1704,131,163,4,58,54,51,469,47,42,305,209,17,859,357,6,7781,1535,12,51,2551,20,158,111,3436
PA-54,58,2,36,228,1149,30,111,9,5,91,16,23,290,100,21,4,114,83,17,10,0,528,85,1,145,8,7,26,14,283,52,200,444,771,1219,852
PA-55,232,197,71,481,1170,62,124,115,132,1023,552,58,80,10,24,172,70,45,65,30,159,224,91,178,161,21,179,43,865,70,882,82,179,30,7,77
PA-57,363,25,135,298,7851,2828,453,267,163,161,20,2065,365,418,15,7,38,38,20,91,678,3,28,51,53,6,800,1365,391,268,10,181,336,325,43,54
PA-58,14,175,107,124,1126,58,273,78,570,24,33,12,39,28,56,412,59,120,102,156,5,8,0,26,61,7,133,8,26,169,504,228,115,8,12,740
PA-59,19,223,93,210,101,99,59,87,52,917,177,8,813,41,52,193,1298,801,22,631,83,209,5,6,154,104,60,5,551,101,66,153,362,25,101,94
PA-61,18,33,110,45,1919,54,467,7,190,17,97,168,42,27,94,55,56,81,229,27,9,616,3,74,2032,28,25,11,250,60,158,129,297,261,182,72
PA-62,23,10,34,458,1640,192,927,21,74,14,1176,17,42,19,291,191,138,147,160,129,157,73,41,404,8,203,1005,237,838,20,14,135,6,25,19,637
PA-63,16,257,241,422,514,41,211,67,251,39,7,206,150,122,155,280,43,63,155,543,302,27,700,435,12,70,59,97,5,54,360,882,455,572,483,1391
PA-64,176,4365,13,14,155,90,495,69,7,14,31,113,15,82,325,57,932,574,70,68,224,193,4,70,93,28,42,536,45,12,218,792,45,1,1055,1856
PA-65,104,24,9,14,15,69,54,98,6,71,1160,67,993,96,226,25,20,18,1300,220,50,30,12,11,312,32,651,10,26,33,35,786,657,43,289,1037
PA-68,1552,12,7,83,47,368,75,1651,12,1941,95,409,3,5,725,560,130,369,117,33,71,77,28,30,124,587,120,167,720,76,94,61,333,32,15,189
PA-70,278,29,46,140,242,24,2227,769,174,22,96,49,31,187,55,165,50,32,34,12,2,165,13,8,139,70,76,401,117,515,396,1562,144,143,31,307
PA-71,228,162,17,17,805,799,156,231,98,58,94,706,110,685,2622,127,148,218,49,46,156,28,494,20,34,161,158,300,795,11,36,504,5,597,307,66
PA-73,95,9,27,124,373,22,375,32,432,10,12,42,3,57,11,4,692,998,61,200,4,4,3,46,12,43,82,15,161,26,16,119,19,30,16,57
PA-74,50,175,90,28,778,751,57,99,1529,188,161,2332,41,14,741,9,226,147,998,203,122,17,38,33,28,12,4640,737,243,461,454,7293,6,178,261,16
PA-77,161,543,32,10,1007,110,27,1416,668,1133,86,375,45,156,306,8,10,52,45,643,32,2,49,4,9,206,137,3,1410,463,340,3861,67,43,99,311
PD-1,529,7858,219,142,7884,3403,367,884,874,7669,4748,7129,142,1870,5520,51,232,578,1099,856,78,842,82,58,313,60,232,1124,77,50,3908,1132,796,1935,460,2130
PD-14,6,7853,23,3,288,62,1,126,19,2365,87,276,50,838,368,3,3,24,26,3,45,20,5,3,2,1,4,840,1,5,154,23,0,554,12,36
PD-16,107,18,82,6,546,17,3,452,817,151,4599,65,4,41,3478,1,7,45,15,11,16,10,25,0,36,56,93,13,7,6,298,69,9,287,151,839
PD-17,72,285,25,4,4267,22,15,244,7,719,1,60,3,966,1642,2,7,91,87,4,11,98,3,27,163,0,4,23,8,39,409,650,55,879,208,61
PD-18,319,9,27,13,7857,3229,150,41,29,4377,56,6296,83,1,15,1,214,414,166,13,1,698,49,2,99,1,5,237,57,0,2779,356,11,202,72,445
PD-20,165,10,185,21,561,37,22,63,2,39,1,219,95,8,97,25,827,1344,8,34,18,32,2,2,0,7,142,2152,16,2,1308,4704,3,49,4,5810
PD-5,523,777,77,1081,1392,47,20,40,1,537,4,343,3,7,27,67,28,51,19,7,5,479,1,8,0,0,4983,18,20,10,7815,467,594,52,0,82
PD-7,1025,618,117,0,7928,548,122,12,1,19,31,8,10,39,150,8,9,12,3,3,40,38,0,35,1,32,9,566,0,0,2555,140,30,524,0,201
PD-8,5,320,1,3,1017,376,7,31,22,29,37,4,7,7,905,22,66,6,27,17,85,5,8,164,6,13,134,61,4,31,433,18,41,52,8,1338
PD-9,2,3486,122,2,1393,711,9,13,319,1061,12,103,51,59,404,62,11,6,38,99,16,73,0,149,207,2,3,94,0,7,7772,18,3,350,11,214
PDD-1,508,45,4,152,597,6,103,159,14,35,164,22,3,33,582,296,3,2,602,4,1042,265,4,6,34,65,164,592,31,1250,1059,51,165,139,72,2876
PDD-10,370,149,12,263,643,64,201,51,469,721,283,2234,589,35,190,19,14,28,31,70,84,462,32,14,14,170,611,135,21,14,1720,13,109,316,286,1658
PDD-11,219,71,523,220,44,79,216,585,428,20,58,819,83,180,21,562,19,4,349,9,31,29,11,400,8,42,914,13,25,252,543,360,1467,160,26,576
PDD-12,85,76,3,257,851,392,57,1362,363,337,65,212,298,5,10,6,91,163,171,187,161,37,12,391,13,304,617,441,371,823,61,13,18,43,35,316
PDD-13,3,17,17,8,64,26,7,23,5,37,51,20,13,9,3,13,13,11,15,37,9,12,1,10,3,4,78,4,27,5,25,17,6,8,32,9
PDD-14,17,245,152,98,514,313,32,435,33,701,485,317,197,225,24,29,27,24,240,643,67,146,14,4,20,75,910,9,200,62,247,261,108,85,102,184
PDD-15,56,54,5,26,236,1507,40,64,21,41,5905,40,112,6,48,33,19,9,6,0,6,201,1,89,12,5,1677,33,5751,571,30,139,3,70,17,253
PDD-16,209,10,27,374,198,30,44,108,179,558,115,464,86,75,49,205,68,85,62,6,43,189,20,8,74,55,479,598,34,229,369,225,39,4,114,354
PDD-17,107,28,21,367,440,167,121,43,225,46,6,605,497,127,15,17,193,208,320,354,50,526,5,846,40,65,1009,472,15,61,40,184,789,8,34,606
PDD-18,232,490,17,12,137,102,40,32,172,131,32,127,361,22,110,48,117,109,156,222,7,111,30,454,48,33,43,519,393,314,288,39,2039,108,96,29
PDD-19,34,17,379,71,521,89,215,824,92,190,67,39,52,114,54,30,1,4,18,15,62,168,39,212,279,89,176,7,277,96,3138,526,1648,233,244,1000
PDD-2,41,43,9,342,1422,17,158,81,18,101,106,239,58,64,406,56,31,15,26,47,2,583,3,94,119,513,775,74,137,780,351,166,863,96,54,38
PDD-20,320,195,1117,245,2415,623,122,422,401,1531,542,45,16,232,9,94,37,53,78,35,88,564,240,247,178,266,119,191,80,224,437,299,413,99,43,255
PDD-21,1,2,0,0,15,0,8,10,4,10,0,5,1,0,1,3,2,4,6,5,0,24,0,0,1,7,3,0,1,1,24,0,0,6,5,2
PDD-22,468,1379,467,19,677,943,166,213,31,1121,389,60,14,21,118,551,94,242,76,71,154,49,43,1047,10,20,225,368,55,149,326,177,382,239,166,506
PDD-23,449,225,529,363,1189,907,659,449,1112,1432,396,2110,1303,16,283,75,106,45,67,71,187,168,31,53,353,419,369,340,252,1847,3107,215,1478,103,236,2963
PDD-24,361,224,67,286,17,158,75,232,86,393,108,331,16,416,46,792,717,498,286,116,62,37,22,85,1,342,77,423,34,261,363,188,378,504,390,148
PDD-25,114,8,471,81,181,1,48,123,116,328,24,359,64,160,156,186,60,55,218,46,41,450,165,315,80,45,674,41,292,240,131,31,921,62,47,175
PDD-26,27,84,10,8,499,21,94,518,1728,124,150,61,475,1145,97,557,512,502,8,1125,3,233,27,83,47,105,81,26,675,669,337,219,117,1015,743,186
PDD-27,415,912,272,695,751,323,95,472,1240,497,244,524,178,296,312,54,365,374,448,29,41,126,46,266,14,25,101,254,980,517,1000,116,551,380,405,1359
PDD-28,26,224,564,940,723,138,84,604,37,26,102,312,84,35,70,15,9,4,254,41,39,61,13,22,30,89,0,1,5,118,47,201,183,175,413,5
PDD-29,1,1,1,0,1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,3,2,0,0,0,1
PDD-3,475,56,101,199,289,177,33,6,24,443,413,152,18,32,48,174,63,133,709,472,33,18,293,182,74,60,418,36,107,823,106,30,276,85,66,386
PDD-30,192,394,33,152,2415,236,60,416,770,477,96,1395,40,0,95,473,87,112,36,523,15,270,320,278,14,246,197,197,3,22,562,450,39,65,113,212
PDD-31,2,28,15,426,12,13,132,39,11,30,800,10,25,1,568,12,590,505,22,76,3,29,12,7,5,3,9,2,3,498,23,43,5,12,60,923
PDD-32,105,726,16,104,905,789,62,250,164,1704,189,647,8,8,504,112,80,258,52,9,117,1412,11,135,88,12,913,354,211,160,844,254,110,90,66,1238
PDD-33,168,86,580,51,106,10,240,11,164,863,100,162,56,21,12,258,27,3,10,4,11,281,13,6,493,8,68,88,12,178,6,168,285,2,7,447
PDD-34,357,4,130,1168,2177,198,174,222,182,92,70,1654,225,211,333,288,36,21,43,6,4,161,17,85,228,10,32,312,47,203,187,402,547,99,57,509
PDD-35,35,20,1212,69,429,222,49,303,744,547,17,141,1464,163,62,899,145,184,176,169,33,38,424,128,138,200,1504,115,894,4,794,174,24,678,399,475
PDD-36,328,257,377,183,275,489,90,348,42,168,105,216,139,140,232,16,322,221,127,320,12,155,4,10,4,790,729,81,26,68,79,289,87,678,612,525
PDD-37,667,241,138,119,16,156,198,78,66,1182,84,394,68,386,95,212,204,251,193,47,9,16,93,177,110,359,529,38,1100,142,138,311,86,20,39,722
PDD-38,65,213,36,517,196,83,95,45,91,392,518,101,9,609,1,295,182,219,10,14,0,33,11,34,99,53,244,1059,89,401,762,49,311,680,479,916
PDD-39,338,120,121,364,29,18,770,32,109,245,644,854,120,195,62,6,124,108,92,41,30,133,406,540,52,194,275,11,861,53,42,47,1694,819,666,44
PDD-4,197,579,345,266,349,258,396,10,35,134,33,2172,35,121,60,147,11,2,1584,139,133,781,13,242,9,44,449,737,31,404,738,496,425,74,44,484
PDD-40,74,60,124,8,1095,2,99,852,123,668,52,499,141,1,19,485,612,431,216,547,42,3360,12,198,39,265,208,21,79,7,1393,4,68,703,743,43
PDD-41,308,27,98,59,11,126,47,172,75,253,92,31,26,23,58,63,31,25,177,58,43,513,51,552,37,164,26,28,67,48,15,262,685,100,70,1315
PDD-42,241,151,29,69,193,80,15,5,68,468,164,62,81,202,83,26,17,7,384,8,121,8,31,612,60,149,523,9,118,287,96,13,997,3,7,210
PDD-43,25,50,664,57,393,505,156,93,20,681,40,366,185,48,12,26,450,471,57,20,6,7,34,13,32,133,56,432,13,291,76,150,68,94,78,609
PDD-44,220,30,963,896,48,98,42,606,723,1140,329,110,18,198,21,274,154,131,325,55,77,96,84,176,107,24,105,39,185,166,1279,1,372,841,735,18
PDD-45,42,108,285,96,70,404,3,35,84,1524,222,199,31,1751,190,77,192,140,796,236,44,545,80,305,184,204,957,1462,194,166,40,300,3315,64,101,323
PDD-46,84,499,639,800,140,67,71,190,543,2058,777,1780,829,177,206,432,203,217,145,28,117,90,88,25,145,179,168,26,138,69,1244,139,704,253,138,1305
PDD-47,15,25,98,181,108,556,77,155,104,90,514,1587,47,109,28,265,86,114,6,371,163,260,32,987,8,60,554,118,20,185,147,11,393,613,424,83
PDD-48,181,334,249,421,413,48,165,90,99,2478,165,78,180,114,144,10,19,27,167,9,105,932,76,192,51,78,179,866,267,18,189,37,20,240,123,252
PDD-49,13,589,18,213,146,153,8,2,32,95,43,579,357,45,72,60,67,68,60,175,4,91,25,1363,71,11,746,2232,385,159,183,41,21,225,110,1738
PDD-5,65,262,181,84,1292,345,177,97,870,2299,153,2167,425,519,71,178,45,27,1060,475,12,401,173,161,53,218,33,927,788,200,1779,371,70,128,12,884
PDD-50,310,458,227,1261,88,64,57,17,36,1002,29,208,38,72,347,132,188,189,150,939,60,28,230,127,97,141,571,53,5,812,1037,60,598,91,27,275
PDD-51,866,574,13,29,327,20,71,19,6,466,27,1669,1352,33,139,21,42,69,17,27,3,141,122,101,0,44,585,22,35,71,27,20,10,35,5,242
PDD-52,946,316,298,265,254,37,117,1098,345,52,26,114,39,1642,115,59,1,10,611,87,53,889,31,320,0,175,1,175,157,487,1853,46,103,113,0,96
PDD-53,791,187,190,501,83,206,17,456,25,130,805,664,24,110,176,132,57,73,25,85,38,166,18,71,35,2,11,19,256,201,484,427,205,185,153,239
PDD-54,70,7,52,201,22,392,22,636,227,986,30,314,123,66,23,11,175,220,151,2,12,98,0,7,46,117,40,86,256,76,12,82,1006,45,14,95
PDD-55,88,32,11,17,411,73,56,28,16,50,234,27,14,8,88,1,9,6,28,61,286,7,12,308,8,20,604,207,6,93,44,396,572,168,96,449
PDD-56,49,160,185,124,63,70,428,22,53,561,16,3,8,489,6,365,160,112,260,17,146,15,23,20,1,36,34,423,9,14,195,431,962,342,307,138
PDD-57,117,20,220,180,90,27,13,110,90,524,6,64,147,8,173,21,79,68,30,296,67,466,37,60,1,6,602,31,141,182,156,45,175,230,321,1076
PDD-58,320,86,92,1207,912,416,670,456,17,78,10,229,454,506,110,210,138,168,823,457,170,128,16,2168,91,128,636,12,72,148,68,67,37,34,2,560
PDD-59,221,206,247,170,37,109,51,287,144,2343,262,123,48,118,85,163,131,234,161,71,18,49,152,287,10,16,439,157,236,846,269,115,490,54,26,639
PDD-6,626,134,16,55,235,129,247,157,252,796,403,67,73,46,17,198,135,166,1323,4,91,74,79,130,97,158,33,127,64,301,32,161,1308,742,317,263
PDD-60,79,7,34,7,27,6,0,126,57,215,31,41,7,6,79,10,0,1,24,23,0,21,1,26,35,10,9,18,38,39,91,6,20,9,15,30
PDD-61,191,52,120,229,11,1,17,621,73,100,27,1406,80,627,6,933,47,54,282,8,82,1040,4,63,35,39,1041,0,29,725,102,280,43,27,32,1605
PDD-62,480,210,284,901,883,183,125,110,72,2263,353,50,17,43,51,421,26,50,3,464,340,446,2,8,132,176,108,96,451,740,1157,42,278,11,8,296
PDD-63,4,232,112,26,1019,8,7,326,247,1595,139,64,74,3,160,8,52,49,33,251,28,221,261,344,28,75,22,15,36,30,100,38,350,5,0,47
PDD-64,17,191,80,22,911,9,4,216,248,1196,118,53,74,1,164,3,57,23,33,191,45,202,151,250,22,66,30,10,40,26,124,62,322,5,8,31
PDD-65,278,45,10,344,268,233,30,222,639,515,248,812,143,6,544,13,15,12,797,132,107,264,38,69,33,101,86,175,346,209,2073,104,1447,220,221,164
PDD-66,0,0,8,29,1,5,3,6,18,3,900,1128,2,0,1115,3,4,0,0,734,1022,106,0,7,0,104,47,72,4,69,10,3,3,116,22,120
PDD-67,3,0,1118,635,7,49,134,2,917,94,72,981,6,4,68,1,201,151,55,46,21,33,0,14,2,72,233,1,360,309,10,311,21,77,140,3215
PDD-68,535,477,41,875,412,246,140,450,60,631,308,507,104,906,197,136,196,204,77,250,10,448,173,511,79,17,812,768,63,361,1665,208,131,608,775,284
PDD-69,1863,71,120,1210,891,293,109,317,165,737,25,591,11,4,88,58,23,47,51,78,38,185,15,85,63,121,3,308,342,144,384,450,169,26,20,150
PDD-7,311,83,256,289,416,205,216,1240,255,512,386,54,21,197,26,46,428,515,399,28,23,1280,171,88,352,64,4,1157,1193,107,299,349,549,134,40,545
PDD-70,25,11,563,550,109,6,3,42,21,410,6,1598,1,62,130,98,2,2,559,463,10,37,24,551,2,136,41,66,3,67,3107,236,514,42,11,1038
PDD-71,32,78,57,75,168,21,261,71,550,651,345,223,78,1,228,410,215,266,271,7,168,64,43,498,3,41,8,44,42,831,292,846,285,91,149,3470
PDD-72,287,116,7,879,1119,184,147,27,110,218,578,756,65,25,17,454,34,61,507,6,3,179,169,7,41,1,426,244,1111,360,237,111,122,73,100,300
PDD-73,332,80,48,211,215,81,35,64,28,827,506,632,433,95,13,104,80,20,22,168,74,82,6,16,0,50,18,25,9,79,688,291,6,333,109,270
PDD-74,15,202,163,103,71,39,32,84,185,34,61,3343,138,147,49,88,62,58,60,330,53,130,21,201,13,17,40,480,166,177,63,33,21,514,447,2506
PDD-75,58,39,99,10,272,23,53,96,1094,659,41,28,3612,34,222,26,58,16,171,122,0,12,0,2,12,452,616,55,21,7,14,621,209,78,251,89
